A1 teach_family name=fmukkasu conf=0.540 centroid=0.002,-0.004,0.006,-0.001,-0.000,-0.004,0.002,0.003,0.002,0.008,-0.004,-0.004,-0.001,-0.001,-0.002,0.005,-0.001,0.010,-0.008,-0.009,-0.001,0.005,-0.011,0.006,-0.005,-0.005,-0.009,0.007,-0.005,0.006,0.010,0.006
A1 teach_family name=fsuvaksu conf=0.220 centroid=0.000,0.000,-0.037,0.023,0.022,0.034,-0.022,0.032,0.003,0.043,-0.057,-0.029,-0.000,0.012,-0.028,-0.033,0.005,0.006,0.022,0.021,-0.033,0.051,0.049,0.015,0.019,0.066,0.069,-0.019,0.050,-0.030,0.004,-0.016
A3 teach_family name=ftar conf=0.320 centroid=-0.000,0.006,-0.004,0.006,0.001,0.013,0.004,0.003,0.003,0.002,0.002,0.000,-0.002,-0.001,0.006,-0.004,-0.004,-0.003,0.003,-0.006,-0.008,-0.003,0.008,-0.003,-0.002,-0.006,-0.002,-0.001,0.001,0.001,0.003,0.003
A12 teach_family name=fvak conf=0.300 centroid=0.001,-0.000,-0.001,0.008,0.006,-0.001,-0.004,-0.000,0.006,0.004,0.004,-0.008,0.002,0.005,-0.004,0.005,-0.002,0.013,0.002,-0.003,-0.002,0.003,-0.003,0.000,-0.005,-0.000,-0.003,-0.001,-0.000,0.003,-0.009,0.006
A24 teach_family name=frin conf=0.310 centroid=0.001,-0.001,0.002,0.009,-0.003,0.007,-0.006,0.001,-0.006,0.009,0.001,0.001,-0.008,0.005,-0.001,0.002,-0.005,-0.005,0.002,-0.012,0.003,-0.008,-0.006,0.004,0.002,0.002,0.003,-0.005,-0.001,-0.002,0.000,-0.010
A26 teach_family name=flo conf=0.390 centroid=0.001,-0.000,0.001,-0.004,-0.000,-0.007,-0.002,-0.007,0.001,-0.005,0.001,0.002,0.007,0.008,0.004,-0.001,0.002,-0.006,-0.002,-0.000,0.004,0.000,-0.006,0.003,-0.005,0.005,-0.004,-0.001,0.000,0.002,-0.009,-0.004
A4 teach_family name=fkaka conf=0.280 centroid=0.001,0.006,0.006,-0.003,-0.001,-0.000,0.006,-0.001,0.003,0.003,-0.010,-0.007,0.000,0.003,-0.007,-0.003,-0.002,0.002,-0.004,0.012,0.007,0.004,-0.013,0.001,-0.007,-0.006,0.009,0.007,-0.004,-0.007,-0.002,0.011
A12 teach_family name=fbelsubel conf=0.300 centroid=0.001,0.000,-0.007,-0.003,-0.002,0.006,-0.014,-0.007,0.002,-0.004,0.007,-0.008,0.000,0.010,-0.002,-0.006,-0.009,-0.005,-0.005,0.004,-0.003,0.005,0.004,0.004,0.006,0.005,-0.003,0.000,-0.000,0.000,0.000,0.004
A12 teach_family name=flosusu conf=0.220 centroid=-0.001,-0.051,0.019,-0.012,0.003,0.029,0.033,-0.005,-0.046,0.003,0.020,-0.016,-0.007,0.028,-0.010,-0.013,0.006,-0.052,0.018,-0.045,0.020,0.022,0.037,-0.018,-0.062,0.000,0.034,-0.053,0.044,0.051,-0.032,-0.016
A15 teach_family name=fzevtar conf=0.310 centroid=0.001,0.009,-0.003,0.002,-0.003,0.003,-0.007,0.002,-0.005,-0.002,0.007,-0.003,0.006,-0.001,0.002,-0.004,0.009,0.008,0.009,0.005,-0.001,-0.005,-0.008,-0.009,-0.003,0.000,0.001,0.000,-0.006,-0.001,0.007,-0.001
A16 teach_family name=fkatar conf=0.520 centroid=0.001,0.007,0.006,0.007,0.005,0.001,0.003,-0.001,-0.006,-0.005,-0.009,0.004,-0.004,0.000,0.001,-0.004,-0.007,-0.001,-0.001,0.001,-0.006,-0.014,0.002,0.007,0.001,-0.003,0.002,0.002,0.000,-0.001,0.008,0.003
A16 teach_family name=ftoltol conf=0.200 centroid=-0.001,0.034,-0.024,-0.064,-0.000,-0.017,0.003,0.033,0.045,0.010,0.040,-0.069,-0.077,-0.009,0.024,-0.040,-0.031,-0.012,-0.003,-0.017,-0.032,0.052,0.000,-0.002,-0.015,0.025,-0.041,0.032,0.064,0.029,0.078,-0.015
A22 teach_family name=ftolvakzev conf=0.310 centroid=0.000,0.004,0.004,0.004,-0.002,-0.003,0.004,0.004,-0.001,0.003,0.005,-0.007,0.003,-0.000,-0.003,0.000,-0.001,-0.009,0.006,0.005,0.004,0.006,0.002,-0.001,-0.001,0.001,-0.002,0.003,0.003,0.000,-0.003,0.003
A25 teach_family name=ftolsu conf=0.420 centroid=0.001,0.005,0.002,0.008,0.002,-0.002,-0.004,0.003,0.000,-0.003,-0.005,-0.002,-0.001,-0.007,-0.001,0.005,-0.001,0.002,-0.001,-0.006,0.002,-0.004,0.002,-0.003,0.006,0.000,0.001,0.001,0.009,-0.000,0.006,0.007
A0 teach_family name=fbelsubel conf=0.280 centroid=0.002,-0.000,-0.006,-0.000,-0.005,0.008,-0.010,0.006,0.001,0.003,-0.001,-0.006,-0.001,-0.002,-0.002,-0.009,0.011,0.002,0.002,-0.002,0.004,-0.000,-0.007,0.000,-0.003,-0.003,-0.005,-0.002,0.007,0.001,-0.007,-0.005
A6 teach_family name=fzev conf=0.320 centroid=0.001,-0.004,-0.002,0.001,0.002,-0.003,-0.008,-0.001,-0.004,0.008,0.001,0.002,-0.004,0.003,-0.001,-0.002,-0.005,-0.001,0.009,0.001,0.002,0.002,-0.001,-0.008,0.008,-0.003,0.009,0.001,0.001,-0.002,-0.010,-0.001
A8 teach_family name=fkatar conf=0.460 centroid=-0.000,0.003,0.009,0.006,-0.006,0.004,0.005,-0.001,0.008,0.014,0.004,0.010,0.003,-0.002,-0.005,-0.009,-0.010,0.007,0.001,0.004,-0.002,0.002,0.013,-0.003,0.005,0.010,-0.013,0.003,0.001,0.000,0.003,-0.000
A16 teach_family name=frinkabel conf=0.460 centroid=0.001,0.001,0.003,0.003,0.004,-0.003,0.002,-0.006,-0.000,0.001,0.007,-0.005,-0.004,0.003,0.004,-0.005,0.002,-0.002,-0.013,0.006,0.003,-0.004,-0.010,-0.006,0.004,-0.009,-0.001,0.004,-0.000,-0.001,-0.008,0.010
A18 teach_family name=fsuzev conf=0.500 centroid=-0.000,-0.003,-0.003,-0.000,0.001,-0.006,0.004,-0.019,-0.002,0.001,-0.009,0.004,-0.001,0.003,-0.000,-0.005,-0.004,-0.002,0.007,-0.000,0.011,0.001,0.005,0.001,0.001,-0.002,0.002,0.002,-0.001,-0.009,-0.001,-0.005
A25 teach_family name=floka conf=0.350 centroid=0.001,-0.001,0.004,0.004,0.002,-0.011,-0.004,0.009,0.008,-0.001,0.001,-0.002,-0.007,-0.004,0.003,-0.008,0.005,-0.002,0.005,0.002,0.006,-0.008,-0.002,0.001,-0.004,0.001,-0.007,0.004,0.003,-0.000,-0.006,-0.009
A26 teach_family name=floka conf=0.450 centroid=0.001,-0.000,0.001,-0.001,0.012,0.014,-0.007,-0.005,0.018,-0.001,0.000,-0.000,-0.010,0.000,0.014,-0.001,0.010,-0.005,-0.002,-0.001,-0.006,-0.004,0.003,-0.004,0.002,0.013,-0.005,-0.004,-0.007,0.006,-0.001,-0.012
A26 teach_family name=fbel conf=0.220 centroid=-0.001,0.016,0.025,0.007,-0.019,-0.012,0.006,-0.028,0.002,-0.001,-0.000,0.021,0.005,-0.006,-0.025,0.018,0.033,-0.015,0.031,0.037,0.038,-0.005,-0.003,-0.050,-0.012,0.026,0.035,-0.023,-0.027,0.003,-0.063,-0.008
A28 teach_family name=fbelrin conf=0.370 centroid=0.001,-0.002,0.002,0.008,0.002,-0.007,-0.002,-0.007,0.005,0.006,0.007,0.007,-0.000,0.008,-0.005,-0.003,0.009,0.000,0.007,0.005,0.003,-0.003,0.005,-0.005,-0.005,-0.000,-0.002,-0.001,0.009,0.006,-0.002,0.002
A29 teach_family name=fmuksusu conf=0.340 centroid=0.001,0.004,-0.005,0.001,0.004,0.001,-0.004,-0.001,-0.002,0.003,0.006,0.012,0.008,-0.004,-0.006,0.003,0.004,0.014,0.003,-0.004,0.002,-0.006,-0.005,0.002,0.001,-0.001,0.008,-0.000,0.005,-0.008,0.002,-0.004
A1 teach_family name=fbelsubel conf=0.390 centroid=0.002,-0.000,-0.006,-0.000,-0.005,0.008,-0.010,0.006,0.001,0.003,-0.001,-0.006,-0.001,-0.002,-0.002,-0.009,0.011,0.002,0.002,-0.002,0.004,-0.000,-0.007,0.000,-0.003,-0.003,-0.005,-0.002,0.007,0.001,-0.007,-0.005
A3 teach_family name=fvak conf=0.390 centroid=0.001,-0.007,0.005,-0.013,0.003,0.000,-0.004,-0.008,0.005,0.002,0.001,-0.002,-0.001,0.001,0.002,-0.006,-0.002,0.000,0.003,-0.011,0.002,-0.012,-0.013,-0.000,0.006,-0.000,-0.001,0.006,-0.004,-0.005,0.006,0.005
A3 teach_family name=fvaklo conf=0.220 centroid=0.000,-0.043,0.016,0.028,-0.029,-0.037,0.001,0.018,0.000,0.039,-0.027,-0.025,0.014,-0.044,0.035,0.051,0.022,-0.021,0.024,0.063,-0.049,-0.003,-0.038,-0.041,-0.054,0.008,0.014,0.023,0.013,-0.040,-0.021,-0.001
A24 teach_family name=fkatar conf=0.290 centroid=0.002,0.006,0.004,0.012,0.001,0.003,0.002,-0.001,0.006,0.003,-0.006,-0.011,0.006,-0.003,0.002,0.005,0.002,-0.002,0.005,0.011,0.000,0.004,-0.007,-0.006,0.003,0.006,0.002,0.003,0.002,-0.007,-0.005,-0.009
A27 teach_family name=fzevtollo conf=0.370 centroid=0.001,0.007,-0.005,-0.002,-0.001,0.002,-0.004,0.005,-0.009,0.005,0.005,-0.004,0.001,-0.001,-0.004,-0.003,0.004,0.000,-0.004,0.009,0.005,-0.004,-0.001,-0.003,0.008,-0.000,0.012,0.001,0.008,0.002,0.002,-0.004
A29 teach_family name=ftoltolrin conf=0.320 centroid=0.001,0.008,-0.005,0.011,0.003,0.004,-0.003,0.010,-0.004,0.000,-0.002,0.003,0.000,0.008,0.001,0.004,-0.006,-0.003,-0.001,-0.002,-0.005,-0.002,0.004,0.006,-0.007,0.007,-0.005,0.014,-0.002,-0.000,0.005,0.003
A1 teach_family name=fbeltar conf=0.270 centroid=0.001,0.000,-0.000,-0.000,-0.004,-0.002,0.002,-0.003,0.001,0.002,-0.005,0.003,-0.006,0.004,0.007,-0.006,0.000,-0.006,0.005,-0.001,-0.005,0.005,0.004,-0.011,-0.006,0.003,0.006,0.003,-0.002,0.005,0.006,0.002
A2 teach_family name=frinbelmuk conf=0.240 centroid=0.001,-0.001,0.001,-0.006,0.002,0.001,-0.003,0.001,0.002,0.002,-0.002,-0.009,-0.002,-0.002,0.002,0.007,-0.007,0.000,0.002,-0.005,0.003,0.005,0.005,0.001,-0.001,0.008,0.004,0.010,-0.003,0.001,-0.002,-0.003
A8 teach_family name=fzevlo conf=0.310 centroid=0.001,0.005,-0.000,0.014,0.012,-0.002,0.004,-0.003,0.002,0.003,0.002,-0.001,0.003,0.003,-0.009,-0.005,-0.005,-0.007,0.001,0.013,0.009,0.002,0.006,-0.002,-0.003,0.006,0.009,0.001,0.002,-0.003,-0.006,-0.005
A11 teach_family name=flo conf=0.290 centroid=-0.000,-0.009,0.006,0.002,-0.005,0.004,0.007,-0.000,0.003,0.001,-0.000,-0.000,-0.003,0.003,-0.008,-0.003,0.001,-0.012,-0.005,0.003,0.006,0.000,-0.004,-0.004,0.003,-0.006,-0.006,0.000,0.007,-0.005,-0.001,0.002
A15 teach_family name=fmukbelvak conf=0.520 centroid=0.001,0.005,0.001,-0.005,-0.001,-0.002,0.008,-0.004,-0.003,0.003,-0.005,0.006,0.002,-0.002,0.012,-0.002,0.008,0.002,-0.002,0.004,-0.005,0.012,-0.004,-0.000,0.000,-0.003,0.003,-0.003,0.003,0.005,-0.007,-0.005
A18 teach_family name=flolomuk conf=0.270 centroid=-0.000,0.001,-0.005,0.008,-0.005,-0.004,0.003,0.013,0.003,-0.005,0.006,0.005,0.009,0.008,-0.007,-0.002,-0.002,0.005,0.005,0.011,-0.004,0.008,0.003,-0.001,0.006,0.003,-0.003,-0.007,0.006,-0.000,-0.002,0.002
A19 teach_family name=ftol conf=0.280 centroid=0.001,0.001,0.003,0.005,-0.006,-0.004,-0.005,0.008,0.001,0.006,-0.004,0.003,-0.008,-0.006,0.001,-0.006,-0.001,-0.002,0.010,-0.005,0.003,-0.002,-0.001,0.005,-0.003,-0.001,0.005,-0.002,-0.002,-0.002,0.006,-0.003
A20 teach_family name=ftar conf=0.360 centroid=0.001,-0.008,0.004,0.002,0.006,0.004,-0.005,-0.002,0.002,-0.009,0.002,0.007,-0.000,-0.011,-0.003,0.007,-0.006,-0.003,0.005,-0.001,-0.006,-0.004,-0.003,0.000,0.004,-0.002,-0.002,-0.005,0.001,0.006,0.008,-0.009
A20 teach_family name=fsu conf=0.230 centroid=-0.000,0.047,-0.050,-0.022,-0.006,-0.034,0.000,0.019,0.018,0.033,-0.005,0.047,-0.006,0.026,0.022,-0.032,-0.000,0.050,0.007,0.004,0.034,-0.021,0.013,-0.032,-0.068,-0.013,-0.004,-0.006,0.005,0.018,-0.002,0.016
A0 teach_family name=fsu conf=0.330 centroid=0.001,0.001,0.012,0.007,0.006,0.002,-0.000,-0.006,0.001,-0.006,0.007,-0.002,-0.004,0.000,0.003,-0.000,0.004,-0.002,0.003,-0.012,-0.002,-0.001,-0.002,-0.005,-0.005,-0.001,0.007,-0.002,0.002,0.007,0.004,0.002
A4 teach_family name=ftoltar conf=0.490 centroid=0.001,-0.006,0.005,0.013,0.018,-0.005,0.001,-0.004,0.000,-0.001,0.002,0.004,-0.000,-0.000,0.007,-0.009,0.007,0.010,-0.016,0.001,-0.004,0.011,0.005,-0.004,-0.001,-0.002,0.013,-0.006,-0.006,0.006,0.001,0.003
A5 teach_family name=fbelmuk conf=0.290 centroid=-0.000,-0.006,0.008,-0.001,0.000,-0.004,0.001,0.003,-0.001,-0.001,-0.004,-0.009,0.002,0.006,0.001,-0.006,0.009,-0.002,0.000,0.007,-0.000,-0.012,0.009,0.004,0.005,0.004,-0.004,-0.010,0.001,-0.004,0.008,-0.002
A19 teach_family name=fsutol conf=0.320 centroid=0.001,-0.007,0.006,-0.002,0.009,0.010,-0.003,-0.000,-0.012,0.008,0.005,0.006,-0.002,-0.006,-0.009,-0.008,-0.002,-0.010,0.000,-0.009,-0.004,0.005,-0.007,0.011,0.000,0.006,-0.008,-0.000,0.003,-0.003,-0.005,0.008
A19 teach_family name=fvakbel conf=0.200 centroid=0.005,-0.026,-0.010,0.025,0.050,0.041,-0.005,0.009,0.004,0.030,0.016,0.005,0.008,0.061,0.007,-0.034,0.006,0.007,0.065,0.007,-0.018,-0.031,0.061,-0.024,0.002,0.058,-0.029,0.016,0.040,-0.018,0.018,0.043
A20 teach_family name=fzevrinbel conf=0.390 centroid=0.000,0.009,-0.000,-0.000,0.008,-0.001,-0.012,0.002,-0.012,-0.005,0.005,0.008,0.008,0.005,0.003,0.010,0.002,-0.002,0.005,0.004,-0.007,-0.002,-0.002,-0.002,-0.002,-0.015,0.003,-0.012,0.006,-0.007,0.006,-0.000
A27 teach_family name=frinka conf=0.330 centroid=-0.000,0.004,-0.001,0.007,-0.002,-0.002,0.002,0.001,0.008,0.008,-0.001,0.001,-0.002,-0.006,-0.011,0.002,0.015,0.004,0.004,-0.004,-0.006,-0.002,0.000,-0.002,0.004,-0.006,0.004,0.002,0.002,0.003,0.013,-0.012
A27 teach_family name=fmuktol conf=0.200 centroid=-0.001,0.009,0.023,-0.046,-0.026,-0.035,-0.006,-0.007,0.028,-0.015,0.013,0.040,0.010,-0.025,0.030,-0.027,-0.037,0.020,0.004,-0.024,0.067,-0.029,0.020,-0.031,-0.020,0.052,-0.014,-0.018,0.018,-0.014,-0.021,0.038
A28 teach_family name=flosuka conf=0.320 centroid=0.001,-0.002,-0.004,0.003,0.005,0.002,0.008,-0.000,-0.006,-0.004,0.004,-0.002,-0.010,0.003,-0.002,-0.009,-0.012,-0.004,0.007,0.004,0.010,-0.001,0.008,-0.006,0.006,0.008,-0.005,0.006,-0.005,-0.002,-0.000,0.001
A28 teach_family name=fbel conf=0.200 centroid=-0.000,-0.056,0.074,-0.022,-0.069,0.003,-0.030,-0.062,-0.010,-0.046,0.046,0.002,-0.021,0.057,0.006,0.002,-0.002,-0.017,0.029,0.032,-0.019,0.018,0.011,-0.003,-0.034,-0.026,-0.054,-0.062,0.006,0.006,-0.051,0.060
A0 teach_family name=ftarlo conf=0.420 centroid=0.000,-0.012,0.006,0.001,0.013,-0.007,-0.008,0.006,0.003,-0.005,0.000,0.010,-0.009,-0.001,-0.009,0.002,-0.003,0.000,-0.005,0.009,0.011,-0.003,0.007,0.017,-0.014,0.006,0.003,0.002,0.005,-0.009,-0.004,-0.002
A0 teach_family name=fbelkarin conf=0.210 centroid=-0.000,0.033,-0.041,-0.026,-0.033,0.020,0.015,0.021,0.015,-0.009,-0.010,-0.004,0.008,-0.026,-0.004,-0.002,-0.007,0.028,-0.019,0.040,-0.048,0.052,-0.004,0.017,-0.015,-0.041,-0.021,-0.046,0.031,0.015,-0.030,-0.005
A5 teach_family name=frin conf=0.450 centroid=0.000,0.002,-0.003,0.002,0.001,-0.007,-0.000,0.006,-0.005,0.003,0.001,0.001,0.005,0.006,-0.006,-0.002,-0.000,-0.008,-0.003,0.011,0.000,-0.003,-0.003,-0.000,-0.000,0.001,0.010,0.000,0.003,-0.003,0.007,0.004
A5 teach_family name=flolo conf=0.210 centroid=-0.003,0.053,-0.028,0.054,-0.054,0.032,0.039,-0.025,0.071,-0.081,0.044,0.019,0.022,-0.011,-0.070,-0.024,-0.009,-0.001,0.007,-0.051,-0.067,0.068,0.070,0.009,-0.002,-0.069,-0.025,0.026,-0.012,-0.003,0.013,-0.040
A1 teach_family name=ftarlo conf=0.560 centroid=0.000,-0.012,0.006,0.001,0.013,-0.007,-0.008,0.006,0.003,-0.005,0.000,0.010,-0.009,-0.001,-0.009,0.002,-0.003,0.000,-0.005,0.009,0.011,-0.003,0.007,0.017,-0.014,0.006,0.003,0.002,0.005,-0.009,-0.004,-0.002
A1 teach_family name=fbelkarin conf=0.220 centroid=-0.000,0.033,-0.041,-0.026,-0.033,0.020,0.015,0.021,0.015,-0.009,-0.010,-0.004,0.008,-0.026,-0.004,-0.002,-0.007,0.028,-0.019,0.040,-0.048,0.052,-0.004,0.017,-0.015,-0.041,-0.021,-0.046,0.031,0.015,-0.030,-0.005
A15 teach_family name=frinbel conf=0.300 centroid=0.000,-0.005,-0.008,0.003,-0.001,0.004,-0.007,0.001,0.006,-0.005,-0.005,-0.006,-0.010,-0.010,-0.012,-0.003,-0.003,0.005,0.001,-0.009,-0.003,-0.004,0.001,0.004,0.005,-0.004,-0.008,0.006,-0.004,0.002,-0.005,-0.011
A24 teach_family name=ftoltol conf=0.390 centroid=0.000,0.006,0.007,-0.002,0.002,-0.013,-0.006,-0.005,0.005,0.000,-0.003,0.002,-0.007,0.003,0.004,0.005,0.004,0.002,-0.000,-0.002,-0.003,-0.011,0.003,0.006,-0.006,0.008,0.005,-0.005,-0.001,-0.002,0.001,0.001
